2018-07-09 06:13:50 | /var/www/html/eumobile_api/v2.1/index.php |  | 172.16.11.20 | 1 | getAccountBalance | This client is not yet allowed to use this service
2018-07-09 06:19:36 | /var/www/html/eumobile_api/v2.1/ApiFunction/getAccountBalance_new.php |  | 172.16.11.20 | 1 | getAccountBalance | Transaction Successful :10000001185.0000
2018-07-09 06:24:16 | /var/www/html/eumobile_api/v2.1/index.php |  | 172.16.11.20 | 1 | cashIn | All required arguments are not defined
2018-07-09 06:25:15 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Request cancelled due to duplicate reference id:1
2018-07-09 06:27:15 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Request cancelled due to duplicate reference id:1
2018-07-09 06:27:59 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Request cancelled due to duplicate reference id:2
2018-07-09 06:38:43 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Request cancelled due to duplicate reference id:3
2018-07-09 06:40:40 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | This subscriber is not eligible to this service : 237699876016
2018-07-09 06:43:08 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Request cancelled due to duplicate reference id:4
2018-07-09 06:58:05 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Welcome to Express Union Mobile. Dear Customer, You have transferred 1000 XAF to 237699876016, ID: 10405683.  your New Balance 10000000185.00 XAF.You are mobile, we also.
2018-07-09 06:59:44 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Request-Retry Threshold reached
2018-07-09 07:02:10 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Request cancelled due to duplicate reference id:5
2018-07-09 07:03:46 | /var/www/html/eumobile_api/v2.1/ApiFunction/getAccountBalance_new.php |  | 172.16.11.20 | 1 | getAccountBalance | Transaction Successful :10000000185.0000
2018-07-09 07:03:51 | /var/www/html/eumobile_api/v2.1/ApiFunction/getAccountBalance_new.php |  | 172.16.11.20 | 1 | getAccountBalance | Transaction Successful :10000000185.0000
2018-07-09 07:17:00 | /var/www/html/eumobile_api/v2.1/ApiFunction/getTransactionDetails.php |  | 172.16.11.20 | 1 | getTransactionDetails | Transaction not found
2018-07-09 08:06:28 | /var/www/html/eumobile_api/v2.1/ApiFunction/cashIn.php |  | 172.16.11.20 | 1 | cashIn | Welcome to Express Union Mobile. Dear Customer, You have transferred 1000 XAF to 237699876016, ID: 10405714.  your New Balance 9999999185.00 XAF.You are mobile, we also.
